,data_value
770,1001353503
771,1711953876
772,1463803219
773,739157296
774,1792588846
775,1503764629
776,326143366
777,274418720
778,699199115
779,973287504
780,146439736
781,1881355
782,1425753079
783,338376208
784,1308342392
785,1888550663
786,1069744140
787,976988935
788,1433713556
789,44389703
790,2103793363
791,2028942303
792,1794485677
793,2017076027
794,1788743929
795,619038188
796,1715670581
797,620853377
798,1529180004
799,1848897927
800,103268546
801,1088729250
802,139148569
803,566551664
804,1087733400
805,1362027862
806,712232117
807,478574599
808,611046645
809,1813637523
810,2053310561
811,615417068
812,1255590183
813,2019750712
814,152430040
815,1637710899
816,1023948462
817,1085775074
818,120991045
819,1116162872
820,160503949
821,1955761121
822,1076700032
823,867953897
824,301815201
825,790292504
826,1138181423
827,109820845
828,1836935645
829,2073130266
830,822336683
831,1390076168
832,1158679713
833,351650311
834,630231579
835,629784193
836,46855662
837,1177875652
838,744277614
839,268770642
840,1185641101
841,77521195
842,269575928
843,1112051185
844,528989732
845,423786378
846,597714165
847,1873372277
848,201793711
849,163201024
850,1563316577
851,1858187129
852,1420117416
853,852261033
854,1380710783
855,1757678857
856,1540490414
857,600248442
858,433109795
859,622629067
860,39156535
861,1092374135
862,1298018222
863,909277698
864,1215615340
865,1164323727
866,398186914
867,204571198
868,1321247369
869,366606131
870,2136700042
871,2074484088
872,2106369438
873,1945684593
874,1670885646
875,690203356
876,2013104163
877,1948191230
878,36999664
879,1698080434
880,472077313
881,611437833
882,1535367250
883,2134039710
884,2138290560
885,647984173
886,2139026183
887,78406820
888,1369967096
889,1294657889
890,490864497
891,46408919
892,67833779
893,1103928340
894,1433358500
895,1703311042
896,304673288
897,1563012084
898,1556637974
899,522509276
900,995888101
901,293084098
902,2065177156
903,357188629
904,1329466337
905,1616607416
906,298138041
907,1068485921
908,1185262412
909,54099160
910,1700538440
911,94449795
912,1941991491
913,2094263760
914,1706909815
915,1869360175
916,270563004
917,1676717455
918,1652344387
919,1594324175
920,444031418
921,1646845807
922,1029952814
923,1506639
924,184179908
925,1034059491
926,1342579719
927,124483215
928,1372604638
929,941553663
930,159760162
931,128888073
932,1214560646
933,1168493862
934,917839840
935,1929198309
936,521747396
937,1212535029
938,1596277882
939,865181736
940,824768376
941,812831909
942,1457352771
943,1280481893
944,743633525
945,1705972157
946,1520184313
947,89027449
948,1064100607
949,142682581
950,1206776262
951,137768796
952,2112997523
953,915650487
954,281774501
955,1504839921
956,255802904
957,726022287
958,948796404
959,1767000870
960,1598046793
961,355989484
962,584847201
963,1644535751
964,1424719368
965,942270663
966,619041362
967,1790267836
968,1064857439
969,1066486832
970,203725553
971,331113066
972,1647981834
973,172989617
974,68141371
975,1313224721
976,1270795896
977,1226760207
978,1903820880
979,1840904519
980,673210461
981,1170369970
982,1831673508
983,520208477
984,1678708547
985,831136063
986,614150124
987,1914246866
988,236647781
989,616716117
990,574521137
991,1129541485
992,423425461
993,1474772316
994,385213505
995,1370329550
996,220043176
997,567714617
998,1486779307
999,1948919220
1000,883067005
1001,1635183388
1002,1596329762
1003,31637017
1004,1971554526
1005,171561463
1006,578739291
1007,924356915
1008,953521443
1009,1604809240
1010,1679083612
1011,1457855399
1012,929422976
1013,814294355
1014,1740521846
1015,613265122
1016,684319666
1017,1603887306
1018,1616531462
1019,428629686
1020,2039571706
1021,1373465057
1022,753006594
1023,303999674
1024,703139803
1025,1260260494
1026,1079060588
1027,542756986
1028,2103844372
1029,878731264
1030,1911410884
1031,1847788587
1032,1931426924
1033,621176690
1034,1882630295
1035,339681352
1036,894199413
1037,707148522
1038,49434103
1039,2103267990
1040,1609425055
1041,201456177
1042,2026625149
1043,952844415
1044,1849426449
1045,366319168
1046,1924771370
1047,445760828
1048,1116340015
1049,1590805995
1050,1087383166
1051,543538742
1052,2055343767
1053,839305666
1054,1443463240
1055,294306487
1056,1991963541
1057,2096365740
1058,1460352863
1059,1621695624
1060,1994591589
1061,2140566259
1062,1212449434
1063,1915564080
1064,705766042
1065,218167754
1066,1380891056
1067,850822643
1068,232424606
1069,507230973
1070,881016112
1071,717636732
1072,504491284
1073,2091550749
1074,840737120
1075,1460652818
1076,875636367
1077,1895769446
1078,1626174859
1079,872502886
1080,1230580471
1081,603554900
1082,485178108
1083,1586027928
1084,1372493726
1085,820263341
1086,1937733862
1087,1615895713
1088,1016905134
1089,1491814332
1090,1305272089
1091,1754863664
1092,225962970
1093,659149624
1094,773283957
1095,1899543982
1096,1964530308
1097,72692531
1098,870843332
1099,1164841828
1100,1166598381
1101,726505619
1102,1367116740
1103,419823962
1104,1403193138
1105,1459094372
1106,429773600
1107,610762197
1108,3010164
1109,570629183
1110,574990223
1111,682210125
1112,475176308
1113,1086657880
1114,1497200672
1115,1607741966
1116,54318808
1117,43130719
1118,1120091263
1119,635828708
1120,1929746970
1121,1783586122
1122,1634996016
1123,1382888690
1124,1055538922
1125,285470796
1126,94212554
1127,1620602183
1128,1635889319
1129,86041010
1130,530561890
1131,247939389
1132,1838878428
1133,1170632654
1134,159518902
1135,1363790004
1136,725025212
1137,985613464
1138,714704041
1139,2138714239
1140,1750932303
1141,499698727
1142,727141566
1143,840367773
1144,703286031
1145,1191143816
1146,1534108974
1147,1038798030
1148,1335929416
1149,2093407017
1150,1940273448
1151,2101317608
1152,1471295859
1153,591690622
1154,742838946
1155,471463519
1156,239304574
1157,1284483303
1158,1090431650
1159,721263019
1160,223847356
1161,992311644
1162,339671878
1163,22711589
1164,1712353213
1165,1100485739
1166,1405795889
1167,2048022400
1168,1657953890
1169,918639248
1170,1056733735
1171,1769373576
1172,1127094522
1173,2087855843
1174,378714139
1175,1769894389
1176,248878605
1177,2012297256
1178,1510124255
1179,538219561
1180,1569703212
1181,9960307
1182,1837966436
1183,294846609
1184,1516740650
1185,742373580
1186,213543131
1187,240599747
1188,1777467697
1189,584425970
1190,1633977818
1191,2061799066
1192,837247875
1193,1966069018
1194,478933221
1195,307029745
1196,1122713976
1197,231460074
1198,1610429313
1199,1504689582
1200,1982770923
1201,1435396152
1202,514117549
1203,766993783
1204,900671703
1205,856840984
1206,569216900
1207,1778030704
1208,1556486978
1209,2032807638
1210,764737858
1211,1302895446
1212,1061238651
1213,1886276379
1214,1494890622
1215,148580298
1216,483621531
1217,1224099104
1218,1385226144
1219,1322290477
1220,1030380496
1221,2019860792
1222,1259671560
1223,2071129588
1224,602994858
1225,1644794735
1226,842431084
1227,1231780838
1228,130547367
1229,1449301751
1230,1376663919
1231,4447579
1232,899740655
1233,883793759
1234,420972567
1235,1242738591
1236,640436604
1237,1601431226
1238,461076144
1239,82449650
1240,1902285687
1241,983196223
1242,2011791383
1243,942569933
1244,1337849076
1245,1244466964
1246,672849974
1247,1836740275
1248,931545133
1249,1294291388
1250,242514984
1251,1761637207
1252,373321999
1253,1580806092
1254,1549763057
1255,1924715904
1256,558516655
1257,825418510
1258,1799110144
1259,183571657
1260,335128342
1261,508411732
1262,130947805
1263,1401934235
1264,1582834545
1265,1333534218
1266,316415392
1267,506222816
1268,1220273369
1269,760130770
1270,1942489978
1271,1916836668
1272,1859313120
1273,1573556994
1274,743506261
1275,91826917
1276,1217688612
1277,2056746604
1278,1726891092
1279,2024306360
1280,802316925
1281,1511801658
1282,1957297426
1283,260087995
1284,2095616698
1285,1852269846
1286,437624290
1287,1628323091
1288,1818127238
1289,914943348
1290,436620176
1291,1861983509
1292,388761421
1293,1298403979
1294,2121056593
1295,1576153499
1296,611935523
1297,1321923126
1298,1843618055
1299,78413071
1300,2009126518
1301,573399239
1302,688078762
1303,614475428
1304,463223730
1305,1931428645
1306,986180419
1307,1608259013
1308,118371680
1309,10824980
1310,1343316204
1311,1802451051
1312,466074222
1313,629028159
1314,670689646
1315,465751080
1316,540497575
1317,829682602
1318,531064542
1319,614005421
1320,1480242220
1321,756705618
1322,909352857
1323,2109525270
1324,1214645295
1325,386643397
1326,1207589112
1327,164201067
1328,1886595263
1329,1558712758
1330,498613847
1331,630653180
1332,595333206
1333,1679734445
1334,2097095852
1335,1581631658
1336,1681119563
1337,1446890164
1338,1907261069
1339,1400689858
1340,132617704
1341,327801767
1342,1429305726
1343,344126166
1344,2050431457
1345,23254010
1346,823445811
1347,1497267065
1348,1628659059
1349,1320414422
1350,1292119420
1351,501660257
1352,887367482
1353,1195761607
1354,596375048
1355,2022819667
1356,549639206
1357,2129313966
1358,1471785776
1359,1593282354
1360,333857800
1361,2135626766
1362,1732137205
1363,97568033
1364,1754825553
1365,1563839091
1366,2038247076
1367,1586025396
1368,6292407
1369,14315488
1370,1515253172
1371,316614067
1372,1412066470
1373,132003720
1374,2050714769
1375,1559897821
1376,143295288
1377,1807087341
1378,1795744839
1379,1085317061
1380,968594826
1381,331964420
1382,1727418651
1383,555892171
1384,1228059517
1385,1936191471
1386,1285408992
1387,1586235477
1388,1444983638
1389,880696547
1390,1843410589
1391,1214143851
1392,1774457731
1393,1345189786
1394,1405857591
1395,35757145
1396,1317275688
1397,298353003
1398,441349904
1399,465953295
1400,992881121
1401,134959464
1402,1894158813
1403,1844676079
1404,1394802155
1405,75392660
1406,1946736995
1407,339145093
1408,139114845
1409,27064887
1410,62448431
1411,869486418
1412,1854275867
1413,1332692300
1414,960666111
1415,550998025
1416,2032893831
1417,563907662
1418,956756278
1419,288785235
1420,1283395109
1421,90870781
1422,804875394
1423,1572460988
1424,203182774
1425,489857054
1426,2125248750
1427,1481015464
1428,722790719
1429,1110058067
1430,555913170
1431,1692929760
1432,679573635
1433,1650171861
1434,1593581587
1435,131371317
1436,1700555110
1437,1208875626
1438,570979857
1439,249194340
1440,233244218
1441,2081708216
1442,481480311
1443,916881548
1444,362938216
1445,423228412
1446,326957649
1447,1283636336
1448,608769591
1449,1710233004
1450,1642248522
1451,1558344338
1452,335509758
1453,1538215585
1454,1454466293
1455,1750853573
1456,1865685555
1457,1492735283
1458,1590392848
1459,356382528
1460,1421299349
1461,662576387
1462,2101294793
1463,1491353007
1464,2125648487
1465,57896235
1466,918050340
1467,883989418
1468,2007111261
1469,440249231
1470,1814475955
1471,2009643984
1472,1647685534
1473,1404746021
1474,238930423
1475,1391184
1476,366486798
1477,758662162
1478,531112775
1479,1054031481
1480,1726484231
1481,670773064
1482,1235119147
1483,564868016
1484,548279255
1485,1646628835
1486,2104082877
1487,2026355298
1488,1072303467
1489,1609517675
1490,1734160518
1491,272101459
1492,1019208397
1493,1695676672
1494,1571221114
1495,884830464
1496,735115378
1497,1435796687
1498,7785151
1499,857327964
1500,148213372
1501,622107482
1502,1739748354
1503,661266720
1504,487480762
1505,1504338993
1506,712883349
1507,1718896786
1508,1926530933
1509,502462641
1510,239923868
1511,1437364910
1512,1526076652
1513,644271401
1514,1224906880
1515,1555528822
1516,1551365371
1517,1729691892
1518,454324744
1519,452318214
1520,792215359
1521,986887888
1522,1709996644
1523,2046345327
1524,566069772
1525,1266135940
1526,1014735686
1527,1819535264
1528,176110559
1529,656362472
1530,1966223589
1531,69960581
1532,417488882
1533,1611645809
1534,2069998088
1535,1493809502
1536,443925819
1537,1298871403
1538,111542461
1539,1209442981
1540,445293929
1541,1248939719
1542,1824661038
1543,575344674
1544,1865292876
1545,1253505957
1546,287630172
1547,1364240437
1548,2030344275
1549,1623641447
1550,1382851173
1551,1573975023
1552,922235183
1553,2006860657
1554,1349008751
1555,920738433
1556,748789157
1557,410225481
1558,1619497143
1559,722915255
1560,2009700533
1561,1728680244
1562,267975336
1563,791468365
1564,35625411
1565,1454368428
1566,70102000
1567,743192808
1568,548293960
1569,556239518
1570,737871297
1571,223769032
1572,1169918593
1573,119311385
1574,69544384
1575,992284434
1576,510136561
1577,2022485151
1578,1081909286
1579,910328697
1580,858855336
1581,1949757318
1582,279500031
1583,424907717
1584,581592026
1585,977019442
1586,25855533
1587,878648791
1588,616165541
1589,915936472
1590,1082551258
1591,1267314649
1592,265772998
1593,1257577257
1594,919278602
1595,1496397173
1596,1200045284
1597,202791856
1598,1485726135
1599,485984006
1600,1228920617
1601,1797784879
1602,921772717
1603,1375606024
1604,1668684182
1605,1952961630
1606,1085358956
1607,1144810564
1608,2076463739
1609,1180020684
1610,1015184075
1611,800632874
1612,224992389
1613,1644680635
1614,110495933
1615,981725941
1616,1558430311
1617,840944481
1618,1690046563
1619,1698239245
1620,1826710873
1621,1530107109
1622,967171757
1623,66868683
1624,1349918543
1625,576225814
1626,1994489928
1627,31732285
1628,1712665374
1629,73261319
1630,1327449764
1631,541670553
1632,2100709354
1633,525435558
1634,1195847027
1635,660853563
1636,866381178
1637,44139667
1638,779141500
1639,2053474360
1640,656340982
1641,1491568766
1642,1862420456
1643,1421732216
1644,699784168
1645,696219811
1646,1669439869
1647,1101141629
1648,776743250
1649,362787053
1650,1501024053
1651,1853119021
1652,43178547
1653,1947045055
1654,851365871
1655,913796968
1656,663690218
1657,786728462
1658,1836531631
1659,1092356528
1660,632586254
1661,1381869856
1662,656854813
1663,1930923344
1664,270689537
1665,715599251
1666,476507667
1667,1098615653
1668,89695765
1669,506846557
1670,163146511
1671,1237649182
1672,2090778244
1673,1440447554
1674,1945359304
1675,1582034388
1676,1960295678
1677,1160028771
1678,1029573640
1679,610881755
1680,929224275
1681,214790167
1682,505860376
1683,450818427
1684,321946112
1685,998120411
1686,954794719
1687,934347643
1688,176644680
1689,1167288691
1690,1092368082
1691,1309870121
1692,152559943
1693,402860419
1694,868193356
1695,945668290
1696,692411426
1697,945556250
1698,5265074
1699,843136131
1700,640903449
1701,1877043192
1702,242944444
1703,1253463930
1704,1957216287
1705,634309653
1706,644563895
1707,268585088
1708,551785247
1709,1757208727
1710,1087506530
1711,459810394
1712,1343090536
1713,435499982
1714,2027137495
1715,470200541
1716,1623893513
1717,62652052
1718,2114958676
1719,352883221
1720,542533849
1721,1749257696
1722,518403801
1723,1507600825
1724,1330105339
1725,1893401685
1726,60925398
1727,473918792
1728,1459741921
1729,2137985710
1730,1331068796
1731,447266816
1732,772962633
1733,592172736
1734,1304071800
1735,175732029
1736,51448334
1737,418858250
1738,578894274
1739,1998117985
1740,1461852237
1741,1751321460
1742,57238342
1743,1334103859
1744,1005914975
1745,740355121
1746,1600038433
1747,1903892595
1748,1510868217
1749,1691325318
1750,807605383
1751,843085793
1752,669274205
1753,953202162
1754,738465828
1755,1704012103
1756,1415313801
1757,1769939291
1758,413814230
1759,529887086
1760,1598910589
1761,839478155
1762,532581443
1763,1490312955
1764,375733254
1765,476265822
1766,1825473124
1767,1154481488
1768,362489198
1769,779989133
1770,1808544158
1771,2139320453
1772,399805893
1773,1964428587
1774,1380579277
1775,443032477
1776,519743594
1777,87315277
1778,1122753253
1779,461208271
1780,1157523409
1781,2100717323
1782,1343000295
1783,1077816343
1784,563001166
1785,1074888676
1786,615464478
1787,1766701595
1788,462532827
1789,912296465
1790,886324098
1791,902146791
1792,873287924
1793,1485438209
1794,875025083
1795,590069621
1796,335410979
1797,553375768
1798,647362081
1799,2121618181
1800,100266194
1801,2028741316
1802,1472536816
1803,1162203168
1804,2103304057
1805,1475978337
1806,207467514
1807,1104822935
1808,1489916830
1809,28076395
1810,1216557185
1811,413465785
1812,522039517
1813,74727654
1814,1203157327
1815,592445370
1816,1901909829
1817,37540087
1818,1999047810
1819,115079719
1820,559403234
1821,1952341593
1822,2110029249
1823,217517529
1824,1485183762
1825,1817121747
1826,140783258
1827,5548510
1828,535966353
1829,1413157256
1830,1010531284
1831,980929576
1832,691672461
1833,151011960
1834,1327337505
1835,769768069
1836,1357332779
1837,759913314
1838,475980762
1839,2001909213
1840,703760090
1841,1241904816
1842,279567717
1843,1603417636
1844,838293756
1845,205109569
1846,846704041
1847,545987453
1848,2117236152
1849,494778813
1850,882488977
1851,239499158
1852,1265960483
1853,1449234854
1854,467228498
1855,759516018
1856,414268612
1857,837770327
1858,219927831
1859,258526676
1860,669623981
1861,605267245
1862,374604952
1863,2123995198
1864,1026188589
1865,1535259926
1866,1218685602
1867,65763271
1868,1492543890
1869,985059017
1870,2095582295
1871,639006849
1872,513248582
1873,1405204090
1874,1974699723
1875,1674716870
1876,1197582455
1877,1778426744
1878,1909097006
1879,1259472397
1880,586732342
1881,203474693
1882,1969722608
1883,2140197312
1884,396875118
1885,1287394992
1886,651698010
1887,905515553
1888,718721291
1889,80056092
1890,1054031666
1891,20990871
1892,1075108919
1893,1187025144
1894,1301060902
1895,1935262543
1896,1688535470
1897,675909402
1898,82030545
1899,230475851
1900,348210381
1901,213397307
1902,928453846
1903,1050490618
1904,1968413164
1905,1030439237
1906,1105030832
1907,1771403689
1908,580102733
1909,1749569419
1910,1421206589
1911,97267678
1912,1665058177
1913,1345843933
1914,1073584988
1915,1211166528
1916,1907562280
1917,2006490403
1918,2131024515
1919,1591200495
1920,1626981867
1921,1776988403
1922,893753873
1923,2001804304
1924,737901625
1925,81639466
1926,114313719
1927,120503557
1928,979920511
1929,483964227
1930,892971456
1931,1627936004
1932,1792700287
1933,851683090
1934,1051991158
1935,340025673
1936,1318323018
1937,394578379
1938,960257844
1939,881964555
1940,1848352384
1941,601043295
1942,163922623
1943,138641521
1944,1919904762
1945,340247930
1946,396242936
1947,534820587
1948,1424360421
1949,1434569329
1950,1914683128
1951,1897144929
1952,1500370737
1953,747077874
1954,2138767826
1955,2058996675
1956,1195622570
1957,1129782219
1958,75665274
1959,602832717
1960,1256176171
1961,1514000667
1962,484094410
1963,1805923027
1964,42954259
1965,2128705759
1966,432187256
1967,309542899
1968,1886897100
1969,1006270802
1970,266928078
1971,1024638822
1972,1847435447
1973,696833528
1974,486205685
1975,416154447
1976,869944094
1977,1956045158
1978,762314051
1979,363339852
1980,588173315
1981,2142181926
1982,1776223300
1983,2619724
1984,808352105
1985,1654675933
1986,141342851
1987,208274743
1988,1342990835
1989,619473124
1990,825813698
1991,1787286498
